Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Number,Col,Don,Dr,Lady,Major,Master,Miss,Mlle,Mme,Mr,Mrs,Ms,Rev,Sir,the Countess,Q,S
True,1,1,29.53641141141141,0,0,35.5,19947,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,0,21.0,0,0,10.5,31026,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,28.5,0,0,7.2292,2697,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,2,0,5.0,1,2,27.75,34651,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,22.0,0,0,7.2292,2669,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,1,1,45.0,1,0,83.475,36973,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,4.0,3,2,27.9,347088,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,1,1,29.53641141141141,0,0,27.7208,17605,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,3,1,29.53641141141141,1,1,15.2458,2661,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
True,2,0,29.0,0,0,10.5,29395,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,19.0,0,0,8.1583,3464,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,17.0,4,2,7.925,3101281,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,26.0,2,0,8.6625,315151,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,32.0,0,0,10.5,33111,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,21.0,0,0,73.5,14879,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,26.0,1,0,14.4542,2680,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,3,1,32.0,0,0,56.4958,1601,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,25.0,0,0,7.65,348123,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.8958,349208,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,8.05,374746,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,1,0.83,0,2,29.0,248738,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,3,0,30.0,0,0,12.475,364516,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,22.0,0,0,9.0,345767,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,1,29.0,0,0,9.5,345779,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,29.53641141141141,0,0,7.7875,330932,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,1,1,28.0,0,0,47.1,113059,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,0,17.0,0,0,10.5,14885,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,3,0,33.0,3,0,15.85,3101278,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,16.0,1,3,34.375,6608,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,8.05,392086,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,24.0,0,0,8.05,343275,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.0,0,0,8.05,343276,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,20.0,0,0,7.8542,347466,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,46.0,1,0,61.175,5734,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,26.0,1,2,20.575,2315,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,59.0,0,0,7.25,364500,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,8.05,374910,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,71.0,0,0,34.6542,17754,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,1,1,23.0,0,1,63.3583,17759,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,2,0,34.0,0,1,23.0,231919,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,2,1,34.0,1,0,26.0,244367,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,28.0,0,0,7.8958,349245,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.8958,349215,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,21.0,0,1,77.2875,35281,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,33.0,0,0,8.6542,7540,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,37.0,2,0,7.925,3101276,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,28.0,0,0,7.8958,349207,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,21.0,0,0,7.65,343120,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,3,1,29.53641141141141,0,0,7.775,312991,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,38.0,0,0,7.8958,349249,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,29.53641141141141,1,0,24.15,371110,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,1,1,47.0,0,0,52.0,110465,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,14.5,1,0,14.4542,2665,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,3,1,22.0,0,0,8.05,324669,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,20.0,1,0,9.825,4136,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,0,17.0,0,0,14.4583,2627,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,3,1,21.0,0,0,7.925,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,70.5,0,0,7.75,370369,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,2,1,29.0,1,0,21.0,11668,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,2.0,4,2,31.275,347082,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,2,1,21.0,2,0,73.5,14879,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,8.05,54510,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,32.5,1,0,30.0708,237736,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,2,0,32.5,0,0,13.0,27267,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,1,1,54.0,0,1,77.2875,35281,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,1,12.0,1,0,11.2417,2651,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
False,3,1,29.53641141141141,0,0,7.75,370372,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,3,1,24.0,0,0,7.1417,17369,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,29.53641141141141,1,1,22.3583,2668,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,3,1,45.0,0,0,6.975,347061,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,33.0,0,0,7.8958,349241,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,1,20.0,0,0,7.05,3101307,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,47.0,1,0,14.5,3337,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,2,0,29.0,1,0,26.0,228414,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,2,1,25.0,0,0,13.0,29178,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,23.0,0,0,15.0458,2133,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,1,0,19.0,0,2,26.2833,11752,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,1,1,37.0,1,0,53.1,113803,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,16.0,0,0,9.2167,7534,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,24.0,0,0,79.2,17593,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,0,29.53641141141141,0,2,15.2458,2678,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,3,0,22.0,0,0,7.75,347081,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,3,0,24.0,1,0,15.85,3101279,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,19.0,0,0,6.75,365222,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,2,1,18.0,0,0,11.5,231945,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,19.0,1,1,36.75,33112,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,1,27.0,0,0,7.7958,350043,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,9.0,2,2,34.375,6608,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,2,1,36.5,0,2,26.0,230080,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,42.0,0,0,13.0,244310,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,2,1,51.0,0,0,12.525,1166,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
True,1,0,22.0,1,0,66.6,113776,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,55.5,0,0,8.05,11206,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,40.5,0,2,14.5,851,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.3125,265302,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,51.0,0,1,61.3792,17597,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,3,0,16.0,0,0,7.7333,35851,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,3,1,30.0,0,0,8.05,392090,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,8.6625,315037,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,44.0,0,1,16.1,371362,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,0,40.0,0,0,15.75,33595,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,26.0,0,0,7.775,347068,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,17.0,0,0,8.6625,315093,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,1.0,4,1,39.6875,3101295,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,3,1,9.0,0,2,20.525,363291,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,1,0,29.53641141141141,0,1,55.0,113505,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,1,1,29.53641141141141,0,0,25.925,17318,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,28.0,0,0,56.4958,1601,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,61.0,0,0,33.5,111240,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,4.0,4,1,29.125,382652,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
True,3,0,1.0,1,1,11.1333,347742,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,21.0,0,0,7.925,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,1,1,56.0,0,0,30.6958,17764,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,1,18.0,1,1,7.8542,350404,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,3,1,25.4667,4133,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,1,0,50.0,0,0,28.7125,17595,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,2,1,30.0,0,0,13.0,250653,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,29.53641141141141,0,0,15.05,2131,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,1,9.0,4,2,31.3875,347077,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,2,1,1.0,2,1,39.0,230136,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,3,0,4.0,0,2,22.025,315153,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,1,1,29.53641141141141,0,0,50.0,113767,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,29.53641141141141,1,0,15.5,370365,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False
True,1,1,45.0,0,0,26.55,111428,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,40.0,1,1,15.5,364849,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,3,1,36.0,0,0,7.8958,349247,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,0,32.0,0,0,13.0,234604,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,2,1,19.0,0,0,13.0,28424,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,19.0,1,0,7.8542,350046,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,2,1,3.0,1,1,26.0,230080,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
True,1,0,44.0,0,0,27.7208,17610,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
False,3,1,29.53641141141141,0,0,7.75,368703,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
False,3,1,42.0,0,1,8.4042,4579,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,29.53641141141141,0,0,7.75,370370,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,2,0,24.0,0,0,13.0,248747,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,28.0,0,0,9.5,345770,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,34.0,0,0,6.4958,3101264,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,45.5,0,0,7.225,2628,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,3,1,18.0,0,0,8.05,3540,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,2.0,0,1,10.4625,347054,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,32.0,1,0,15.85,3101278,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,1,26.0,0,0,18.7875,2699,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
True,3,0,16.0,0,0,7.75,367231,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
True,1,1,40.0,0,0,31.0,112277,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,3,1,24.0,0,0,7.05,3101311,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,0,35.0,0,0,21.0,13528,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,3,1,22.0,0,0,7.25,21174,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,30.0,0,0,13.0,250646,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,1,0,7.75,367229,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,3,0,27.0,0,0,7.925,3101283,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,2,1,42.0,1,0,27.0,243847,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,1,0,32.0,0,0,76.2917,11813,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
False,2,1,30.0,0,0,10.5,14208,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,1,16.0,0,0,8.05,392089,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,27.0,0,0,13.0,220367,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,51.0,0,0,8.05,21440,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.8958,349234,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,1,1,38.0,1,0,90.0,19943,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,22.0,0,0,9.35,4348,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,1,19.0,0,0,10.5,751,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,20.5,0,0,7.25,21173,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,18.0,0,0,13.0,236171,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,29.53641141141141,3,1,25.4667,4133,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,1,0,35.0,1,0,83.475,36973,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,29.0,0,0,7.775,347067,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,59.0,0,0,13.5,237442,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,3,0,5.0,4,2,31.3875,347077,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,2,1,24.0,0,0,10.5,29566,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,29.53641141141141,0,0,7.55,6609,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,2,1,44.0,1,0,26.0,26707,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
True,2,0,8.0,0,2,26.25,31921,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
False,2,1,19.0,0,0,10.5,28665,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,33.0,0,0,12.275,1585,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,29.53641141141141,1,0,14.4542,2665,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
True,3,0,29.53641141141141,1,0,15.5,367230,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
False,2,1,29.0,0,0,10.5,14263,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,22.0,0,0,7.125,2,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,30.0,0,0,7.225,2694,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
False,1,1,44.0,2,0,90.0,19928,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
False,3,0,25.0,0,0,7.775,347071,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,2,0,24.0,0,2,14.5,250649,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,1,1,37.0,1,1,52.5542,11751,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,2,1,54.0,1,0,26.0,244252,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True
False,3,1,29.53641141141141,0,0,7.25,362316,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,29.0,1,1,10.4625,347054,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,1,1,62.0,0,0,26.55,113514,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,1,30.0,1,0,16.1,3336,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
False,3,0,41.0,0,2,20.2125,370129,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
True,3,0,29.0,0,2,15.2458,2650,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,1,0,29.53641141141141,0,0,79.2,17585,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
True,1,0,30.0,0,0,86.5,110152,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
True,2,0,50.0,0,1,26.0,230433,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
False,3,1,29.53641141141141,0,0,7.75,384461,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
True,3,1,3.0,4,2,31.3875,347077,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
False,1,1,52.0,1,1,79.65,110413,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True
